Id,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient
583,19.0,12.879310344827585,125.0,0.0
584,5.0,2.5714285714285716,115.0,0.083333336
585,4.0,2.909090909090909,66.0,0.0
586,6.0,4.125,110.0,0.0
587,3.0,2.3333333333333335,63.0,0.0
588,2.0,1.5,144.0,0.0
589,1.0,1.0,76.0,0.0
590,5.0,3.3333333333333335,117.0,0.0
591,4.0,2.6923076923076925,112.0,0.0
592,0.0,0.0,0.0,0.0
593,0.0,0.0,0.0,0.0
594,0.0,0.0,0.0,0.0
595,0.0,0.0,0.0,0.0
596,3.0,2.2,92.0,0.0
597,7.0,4.666666666666667,108.0,0.0
598,8.0,5.421052631578948,96.0,0.0
599,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0
601,0.0,0.0,0.0,0.0
602,0.0,0.0,0.0,0.0
603,6.0,3.9696969696969697,0.0,0.0
604,15.0,10.26086956521739,436.0,0.0
605,11.0,6.378787878787879,3.0,0.5
606,7.0,4.461538461538462,55.0,0.0
607,14.0,9.975,428.0,0.0
608,17.0,11.285714285714286,227.0,0.0
609,2.0,1.25,32.0,0.0
610,1.0,1.0,10.0,0.0
611,3.0,2.6,14.0,0.5
612,16.0,11.042553191489361,354.0,0.0
613,7.0,4.0,27.5,0.0
614,14.0,10.076923076923077,243.0,0.0
615,9.0,5.090909090909091,119.0,0.0
616,19.0,8.024896265560166,929.8666666666667,0.2
617,0.0,0.0,0.0,0.0
618,4.0,2.769230769230769,29.5,0.0
619,5.0,3.3125,64.0,0.16666667
620,4.0,2.411764705882353,152.13333333333333,0.071428575
621,0.0,0.0,0.0,0.0
622,5.0,3.4,24.5,0.0
623,4.0,2.533333333333333,85.0,0.15
624,8.0,4.769230769230769,44.0,0.0
625,15.0,8.28,0.0,0.0
626,3.0,2.0,18.0,0.0
627,14.0,9.681818181818182,459.0,0.0
628,5.0,4.0,0.0,0.0
629,21.0,10.323651452282158,20.0,0.0
630,13.0,9.31578947368421,273.0,0.0
631,9.0,6.15,82.0,0.0
632,16.0,10.472727272727273,275.0,0.0
633,6.0,3.3846153846153846,50.0,0.0
634,0.0,0.0,0.0,0.0
635,8.0,5.230769230769231,87.0,0.0
636,17.0,11.8125,315.0,0.0
637,12.0,7.066666666666666,122.0,0.16666667
638,0.0,0.0,0.0,0.0
639,20.0,9.282157676348548,0.0,0.0
640,12.0,7.133333333333334,29.0,0.0
641,7.0,3.5384615384615383,48.0,0.0
642,4.0,2.75,24.0,0.0
643,0.0,0.0,0.0,0.0
644,0.0,0.0,0.0,0.0
645,10.0,3.6140350877192984,407.0,0.0
646,9.0,2.6371681415929205,516.0,0.0
647,8.0,2.2560975609756095,523.0,0.0
648,9.0,3.2195121951219514,7.0,0.0
649,0.0,0.0,0.0,0.0
650,7.0,3.15625,211.0,0.0
651,13.0,9.416666666666666,846.0,0.0
652,13.0,7.724137931034483,232.0,0.0
653,0.0,0.0,0.0,0.0
654,0.0,0.0,0.0,0.0
655,19.0,8.730290456431534,274.0,0.16666667
656,4.0,3.466666666666667,24.0,0.5
657,9.0,5.5,118.0,0.0
658,5.0,2.769230769230769,104.0,0.33333334
659,0.0,0.0,0.0,0.0
660,0.0,0.0,0.0,0.0
661,0.0,0.0,0.0,0.0
662,0.0,0.0,0.0,0.0
663,0.0,0.0,0.0,0.0
664,0.0,0.0,0.0,0.0
665,0.0,0.0,0.0,0.0
666,0.0,0.0,0.0,0.0
667,0.0,0.0,0.0,0.0
668,0.0,0.0,0.0,0.0
669,0.0,0.0,0.0,0.0
670,0.0,0.0,0.0,0.0
671,18.0,12.087719298245615,177.0,0.0
672,5.0,2.6153846153846154,106.0,0.16666667
673,4.0,3.0833333333333335,150.0,0.083333336
674,19.0,8.365145228215768,783.0,0.0
675,21.0,14.433333333333334,15.0,0.0
676,11.0,5.857142857142857,124.0,0.0
677,0.0,0.0,0.0,0.0
678,14.0,8.733333333333333,7.5,0.5
679,13.0,7.838709677419355,39.0,0.0
680,0.0,0.0,0.0,0.0
681,0.0,0.0,0.0,0.0
682,0.0,0.0,0.0,0.0
683,0.0,0.0,0.0,0.0
684,0.0,0.0,0.0,0.0
685,0.0,0.0,0.0,0.0
686,0.0,0.0,0.0,0.0
687,0.0,0.0,0.0,0.0
688,0.0,0.0,0.0,0.0
689,5.0,3.2,105.0,0.0
690,6.0,3.2857142857142856,144.0,0.0
691,0.0,0.0,0.0,0.0
692,0.0,0.0,0.0,0.0
693,0.0,0.0,0.0,0.0
694,0.0,0.0,0.0,0.0
695,0.0,0.0,0.0,0.0
696,0.0,0.0,0.0,0.0
697,0.0,0.0,0.0,0.0
698,0.0,0.0,0.0,0.0
699,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0
701,0.0,0.0,0.0,0.0
702,0.0,0.0,0.0,0.0
703,0.0,0.0,0.0,0.0
704,3.0,2.0833333333333335,782.5,0.2
705,3.0,1.9166666666666667,1753.9666666666667,0.06944445
706,3.0,1.9166666666666667,475.0,0.15
